,age,sex,underweight,overweight,obese,parents_support,close_friends,students_support,felt_lonely,mean_school_absence,mean_physical_fighting,physically_attacked,cyber_bullied,bullied
0,13.0,1.0,,,,5.0,2.0,1.0,5.0,10.0,0.0,0.0,,1
1,13.0,1.0,,,,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0
2,14.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0
3,16.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.5,0.0,0.0,0
4,13.0,1.0,,,,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0
5,13.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0
6,14.0,1.0,,,,5.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0
7,12.0,1.0,,,,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0
8,13.0,0.0,,,,4.0,3.0,4.0,1.0,7.5,2.5,1.0,0.0,1
9,14.0,1.0,,,,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1
10,15.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,1
11,13.0,1.0,,,,5.0,3.0,1.0,3.0,0.0,1.0,12.0,1.0,1
12,13.0,1.0,,,,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
13,14.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0
14,14.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,,0.0,0.0,0.0,1
15,13.0,1.0,,,,3.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0,1
16,11.0,0.0,,,,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
17,13.0,0.0,,,,0.0,0.0,3.0,1.0,1.5,0.0,0.0,0.0,1
18,14.0,1.0,,,,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1
19,13.0,0.0,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0
20,13.0,1.0,,,,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
21,14.0,0.0,,,,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0
22,13.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,4.0,0.0,2.5,0.0,1.0,1
23,14.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,4.0,0.0,2.5,0.0,0.0,1
24,13.0,0.0,,,,1.0,3.0,3.0,1.0,,1.0,0.0,0.0,0
25,13.0,1.0,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0
26,13.0,0.0,,,,4.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0
27,14.0,1.0,,,,5.0,3.0,5.0,5.0,4.0,4.5,1.0,0.0,1
28,14.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,2.5,0.0,0.0,0
29,13.0,0.0,,,,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1
30,13.0,1.0,,,,0.0,3.0,0.0,2.0,,1.0,0.0,0.0,0
31,13.0,1.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0
32,14.0,1.0,0.0,0.0,0.0,0.0,,3.0,3.0,4.0,0.0,1.0,1.0,1
33,14.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
34,14.0,1.0,,,,3.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,1
35,14.0,0.0,,,,1.0,3.0,5.0,1.0,4.0,6.5,12.0,0.0,1
36,13.0,1.0,,,,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0
37,13.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,10.0,8.5,0.0,0.0,1
38,14.0,1.0,,,,0.0,3.0,0.0,4.0,,0.0,0.0,0.0,1
39,13.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1
40,13.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,,0.0,4.0,1.0,1
41,13.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1
42,15.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1
43,14.0,1.0,0.0,1.0,0.0,5.0,3.0,5.0,1.0,1.5,0.0,1.0,0.0,1
44,16.0,1.0,,,,0.0,3.0,0.0,2.0,,0.0,0.0,0.0,0
45,13.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1
46,13.0,0.0,,,,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0
47,15.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0
48,14.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1
49,16.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0
50,16.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0
51,14.0,1.0,,,,1.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,1
52,14.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,2.0,1.5,2.5,0.0,1.0,1
53,15.0,0.0,,,,5.0,3.0,4.0,2.0,1.5,1.0,2.0,0.0,1
54,16.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,10.0,2.5,4.0,1.0,1
55,14.0,1.0,,,,5.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1
56,15.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1
57,15.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,0.0,4.5,0.0,0.0,0
58,16.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,10.0,2.5,0.0,0.0,1
59,15.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,1
60,15.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,0.0,0.0,0.0,1.0,1
61,15.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0
62,15.0,1.0,,,,3.0,1.0,2.0,3.0,1.5,1.0,0.0,0.0,1
63,15.0,1.0,,,,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0
64,16.0,1.0,0.0,1.0,0.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1
65,14.0,1.0,,,,5.0,,4.0,2.0,1.5,0.0,0.0,1.0,1
66,14.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0
67,14.0,0.0,0.0,0.0,0.0,1.0,,3.0,2.0,7.5,10.5,0.0,1.0,1
68,16.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1
69,15.0,1.0,0.0,1.0,1.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1
70,14.0,0.0,,,,2.0,,5.0,0.0,7.5,2.5,2.0,0.0,1
71,15.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1
72,16.0,0.0,,,,3.0,,3.0,3.0,0.0,1.0,0.0,1.0,1
